folder,product,vendor,type,file,url
01_key-equipment,Align A8-Pro Reformer With Standard Legs,Align Pilates,Pilates Studio,Align_A8-Pro_Reformer_With_Standard_Legs__5.jpg,https://www.t8fitness.com/products/align-a8-pro-reformer-std-leg-bundle
02_accessories,C* Platform Extender Only,Align Pilates,Pilates Studio,C_Platform_Extender_Only.jpg,https://www.t8fitness.com/products/c-platform-extender-only
02_accessories,Align Pilates C* Series Mat Converter,Align Pilates,Pilates Studio,Align_Pilates_C_Series_Mat_Converter.jpg,https://www.t8fitness.com/products/c-mat-converter
02_accessories,Platform Extender For A8-Pro & A2 Pilates Reformers,Align Pilates,Pilates Studio,Platform_Extender_For_A8-Pro_A2_Pilates_Reformers.jpg,https://www.t8fitness.com/products/platform-extender-for-a8-pro-a2-pilates-reformers
01_key-equipment,Combo Chair III by Align Pilates,Align Pilates,Pilates Studio,Combo_Chair_III_by_Align_Pilates.jpg,https://www.t8fitness.com/products/combo-chair-iii-by-align-pilates
01_key-equipment,Combo Chair III by Align Pilates,Align Pilates,Pilates Studio,Combo_Chair_III_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/combo-chair-iii-by-align-pilates
01_key-equipment,Combo Chair III by Align Pilates,Align Pilates,Pilates Studio,Combo_Chair_III_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/combo-chair-iii-by-align-pilates
01_key-equipment,Pilates Ladder Barrel RC by Align Pilates,Align Pilates,Pilates Studio,Pilates_Ladder_Barrel_RC_by_Align_Pilates.jpg,https://www.t8fitness.com/products/pilates-ladder-barrel-rc-by-align-pialtes
01_key-equipment,Pilates Ladder Barrel RC by Align Pilates,Align Pilates,Pilates Studio,Pilates_Ladder_Barrel_RC_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/pilates-ladder-barrel-rc-by-align-pialtes
01_key-equipment,Pilates Ladder Barrel RC by Align Pilates,Align Pilates,Pilates Studio,Pilates_Ladder_Barrel_RC_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/pilates-ladder-barrel-rc-by-align-pialtes
01_key-equipment,Pilates Ladder Barrel RC by Align Pilates,Align Pilates,Pilates Studio,Pilates_Ladder_Barrel_RC_by_Align_Pilates__4.jpg,https://www.t8fitness.com/products/pilates-ladder-barrel-rc-by-align-pialtes
02_accessories,Jump Board For A8 & A2 Series Reformers,Align Pilates,Pilates Studio,Jump_Board_For_A8_A2_Series_Reformers.jpg,https://www.t8fitness.com/products/jump-board-for-a8-a2-series-reformers
02_accessories,Reformer & Cadillac Spring 47cm - Extra Light,Align Pilates,Pilates Studio,Reformer_Cadillac_Spring_47cm_-_Extra_Light.jpg,https://www.t8fitness.com/products/reformer-cadillac-spring-47cm-extra-light
01_key-equipment,Silent Pilates Reformer Ropes (Pair) - Align Pilates,Align Pilates,Pilates Studio,Silent_Pilates_Reformer_Ropes_Pair_-_Align_Pilates.jpg,https://www.t8fitness.com/products/silent-pilates-reformer-ropes-pair
01_key-equipment,Silent Pilates Reformer Ropes (Pair) - Align Pilates,Align Pilates,Pilates Studio,Silent_Pilates_Reformer_Ropes_Pair_-_Align_Pilates__2.jpg,https://www.t8fitness.com/products/silent-pilates-reformer-ropes-pair
01_key-equipment,F3 Home Pilates Folding Reformer by Align Pilates,Align Pilates,Pilates Studio,F3_Home_Pilates_Folding_Reformer_by_Align_Pilates.jpg,https://www.t8fitness.com/products/f3-home-pilates-folding-reformer-by-align-pilates
